,0,1,2,3,4,5,6,7,8,9,10
0,he,found,himself,in,the,neighborhood,of,,,,
1,the,asteroids,three two five,,,,,,,,
2,three two six,three two seven,,,,,,,,,
3,three two eight,three two nine,,,,,,,,,
4,and,three three zero,so,,,,,,,,
5,he,began,by,visiting,them,to,,,,,
6,learn,more,the,first,,,,,,,
7,one,was,inhabited,by,a,king,,,,,
8,the,king,was,sitting,dressed,,,,,,
9,in,purple,and,ermine,on,a,,,,,
10,very,simple,yet,majestic,throne,,,,,,
11,ah,here,comes,,,,,,,,
12,a,subject,exclaimed,the,king,when,,,,,
13,he,caught,sight,of,the,little,prince,,,,
14,and,the,little,prince,asked,himself,,,,,
15,how,could,he,recognise,me,when,,,,,
16,he,s,never,seen,me,before,,,,,
17,he,didnt,,know,that,for,kings,,,,
18,the,world,is,very,much,simplified,,,,,
19,to,them,all,men,are,subjects,,,,,
20,approach,so,that,i,,,,,,,
21,may,see,you,better,said,the,king,who,,,
22,was,very,proud,to,finally,be,,,,,
23,king,over,somebody,,,,,,,,
24,the,little,prince,looked,around,him,for,,,,
25,a,place,to,sit,but,the,planet,,,,
26,was,completely,taken,over,by,the,magnificent,,,,
27,ermine,robe,,,,,,,,,
28,so,he,remained,standing,and,,,,,,
29,since,he,was,tired,he,yawned,,,,,
30,it,is,contrary,to,etiquette,to,,,,,
31,yawn,in,the,presence,of,a,king,the,,,
32,monarch,said,to,him,i,forbid,you,,,,
33,to,do,so,i,cant,,stop,,,,
34,myself,replied,the,little,prince,,,,,,
35,thoroughly,embarrassed,,,,,,,,,
36,i,ve,come,on,a,long,journey,and,i,havent,
37,slept,ah,then,,,,,,,,
38,the,king,said,i,order,you,,,,,
39,to,yawn,i,have,not,seen,anyone,yawning,,,
40,for,years,yawns,to,me,,,,,,
41,are,objects,of,curiosity,,,,,,,
42,come,now,yawn,again,it,is,an,order,,,
43,that,frightens,me,,,,,,,,
44,i,can't,,any,more,said,the,little,prince,,
45,blushing,hum,hum,,,,,,,,
46,replied,the,king,,,,,,,,
47,then,i,i,order,,,,,,,
48,you,sometimes,to,yawn,,,,,,,
49,and,sometimes,to,,,,,,,,
50,he,sputtered,a,bit,and,seemed,vexed,,,,
51,for,the,king,fundamentally,,,,,,,
52,insisted,that,his,authority,be,respected,,,,,
53,he,didnt,,tolerate,,,,,,,
54,disobedience,he,was,an,absolute,,,,,,
55,monarch,but,because,,,,,,,,
56,he,was,good,at,heart,he,gave,,,,
57,reasonable,orders,,,,,,,,,
58,if,i,ordered,a,general,he,,,,,
59,would,often,say,if,i,ordered,a,general,,,
60,to,change,himself,into,a,seabird,,,,,
61,and,if,the,general,did,not,obey,,,,
62,me,it,would,not,be,the,general,s,,,
63,fault,it,would,be,my,fault,,,,,
64,may,i,sit,down,,,,,,,
65,the,little,prince,enquired,timidly,,,,,,
66,i,order,you,to,sit,down,,,,,
67,replied,the,king,who,majestically,,,,,,
68,gathered,in,a,fold,of,his,ermine,,,,
