,0,1,2,3,4,5,6,7,8,9,10
63,the,little,prince,but,after,some,,,,,
64,thought,he,added,what,does,that,mean,,,,
65,tame,you,aren,,,,,,,,
66,t,from,here,said,the,fox,,,,,
67,what,is,it,that,you,re,looking,for,,,
68,i,m,looking,for,men,said,the,little,,,
69,prince,what,does,tame,,,,,,,
70,mean,men,,,,,,,,,
71,said,the,fox,they,have,guns,,,,,
72,and,they,hunt,it,s,very,bothersome,,,,
73,they,also,raise,chickens,,,,,,,
74,it,s,their,sole,interest,,,,,,
75,are,you,looking,for,chickens,,,,,,
76,no,said,the,little,prince,,,,,,
77,i,m,looking,for,friends,what,,,,,
78,does,tame,mean,,,,,,,,
79,it,s,something,that,s,too,often,forgotten,,,
80,said,the,fox,it,means,,,,,,
81,to,establish,bonds,,,,,,,,
82,to,establish,bonds,,,,,,,,
83,that,s,right,said,the,fox,,,,,
84,to,me,you,re,still,only,a,little,,,
85,boy,just,like,a,hundred,thousand,,,,,
86,other,little,boys,and,i,don,t,need,you,,
87,and,you,don,t,need,me,either,,,,
88,to,you,i,m,only,a,fox,,,,
89,just,like,a,hundred,thousand,other,foxes,,,,
90,but,if,you,tame,me,,,,,,
91,we,ll,need,each,other,,,,,,
92,to,me,you,ll,be,unique,in,the,entire,,
93,world,to,you,,,,,,,,
94,i,ll,be,unique,in,the,entire,world,,,
95,i,m,beginning,to,understand,,,,,,
96,said,the,little,prince,,,,,,,
97,there,s,a,flower,i,think,she,s,,,
98,tamed,me,it,s,possible,,,,,,
99,said,the,fox,on,earth,,,,,,
100,you,see,all,kinds,of,things,,,,,
101,oh,but,she,s,not,on,earth,,,,
102,said,the,little,prince,,,,,,,
103,the,fox,seemed,very,intrigued,,,,,,
104,on,another,planet,yes,,,,,,,
105,are,there,hunters,,,,,,,,
106,on,that,planet,no,,,,,,,
107,that,s,interesting,,,,,,,,
108,and,chickens,,,,,,,,,
109,no,,,,,,,,,,
110,nothing,s,perfect,sighed,,,,,,,
111,the,fox,but,the,fox,,,,,,
112,came,back,to,his,idea,,,,,,
113,my,life,is,very,monotonous,,,,,,
114,i,hunt,chickens,,,,,,,,
115,men,hunt,me,all,the,chickens,,,,,
116,look,alike,and,all,the,men,look,alike,,,
117,so,i,get,a,bit,bored,,,,,
118,but,if,you,tame,me,,,,,,
119,it,would,bring,some,sunlight,into,my,,,,
120,life,i,d,come,to,know,a,sound,,,
121,of,footsteps,unlike,any,other,,,,,,
122,other,footsteps,send,,,,,,,,
123,me,hurrying,back,underground,yours,,,,,,
124,would,call,me,out,of,my,burrow,,,,
125,like,music,and,then,look,,,,,,
126,you,see,the,wheat,fields,down,,,,,
127,there,i,don,t,eat,bread,,,,,
128,wheat,is,of,no,use,to,me,,,,
129,the,wheat,fields,mean,nothing,to,me,and,,,
130,that,s,sad,but,your,hair,,,,,
131,is,the,colour,of,gold,so,,,,,
132,it,ll,be,wonderful,when,you,ve,tamed,,,
133,me,the,wheat,which,is,golden,,,,,
134,will,remind,me,of,you,,,,,,
135,and,i,ll,love,the,sound,of,the,wind,,
136,blowing,through,the,wheat,,,,,,,
137,the,fox,went,silent,,,,,,,
138,and,gazed,at,the,little,prince,for,a,long,,
139,time,please,,,,,,,,,
140,tame,me,he,said,,,,,,,
141,i,really,want,to,the,,,,,,
142,little,prince,replied,but,i,don,,,,,
143,t,have,much,time,i,have,friends,,,,
144,to,discover,and,many,things,to,understand,,,,
145,one,only,,,,,,,,,
146,understands,the,things,that,one,,,,,,
147,tames,said,the,fox,,,,,,,
148,men,no,longer,have,the,time,,,,,
149,to,get,to,know,anything,they,buy,,,,
150,things,ready,made,in,the,shops,,,,,
151,but,as,there,aren,t,any,shops,that,sell,,
152,friends,men,no,longer,have,,,,,,
153,any,friends,if,you,want,,,,,,
154,a,friend,tame,me,,,,,,,
155,what,should,i,do,,,,,,,
156,asked,the,little,prince,,,,,,,
157,you,have,to,be,very,patient,replied,,,,
158,the,fox,first,,,,,,,,
159,you,ll,sit,down,a,little,way,away,from,me,like
160,this,in,the,grass,i,,,,,,
161,ll,watch,you,out,of,the,corner,of,my,eye,
162,and,you,won,t,say,anything,words,,,,
163,are,a,source,of,misunderstandings,,,,,,
164,but,every,day,you,,,,,,,
165,ll,be,able,to,sit,a,little,closer,,,
166,the,next,day,the,little,prince,,,,,
167,came,back,it,,,,,,,,
168,would,ve,been,better,to,come,back,at,the,same,
169,time,of,day,said,the,fox,,,,,
170,if,you,come,for,example,at,,,,,
171,four,o,clock,in,the,afternoon,,,,,
172,from,three,o,clock,i,d,start,to,feel,happy,
173,as,the,time,got,nearer,i,d,,,,
174,feel,happier,and,happier,,,,,,,
175,already,by,four,o,clock,i,d,be,jumping,,
176,about,and,getting,restless,,,,,,,
177,i,d,come,to,learn,the,price,,,,
178,of,happiness,but,if,you,come,,,,,
179,at,just,any,time,i'd,,never,know,at,,
180,what,time,my,heart,should,be,ready,to,greet,,
181,you,we,must,observe,the,rites,,,,,
182,what,s,a,rite,,,,,,,
183,asked,the,little,prince,,,,,,,
184,they,are,also,something,too,,,,,,
185,often,forgotten,said,the,fox,,,,,,
186,they,are,what,make,one,day,,,,,
187,different,from,other,days,one,,,,,,
188,hour,different,from,other,hours,,,,,,
189,there,s,a,rite,for,example,,,,,
190,among,my,hunters,on,thursdays,,,,,,
191,they,dance,with,the,girls,,,,,,
192,of,the,village,so,thursday,,,,,,
193,is,a,wonderful,day,i,can,,,,,
194,go,for,a,walk,as,far,as,the,vineyards,,
195,if,the,hunters,danced,on,just,,,,,
196,any,day,all,the,days,would,,,,,
197,be,alike,and,i,d,never,have,any,rest,,
198,so,the,little,,,,,,,,
199,prince,tamed,the,fox,,,,,,,
200,and,when,the,time,to,leave,drew,near,,,
201,oh,said,the,,,,,,,,
202,fox,i,ll,cry,,,,,,,
203,it,s,your,fault,said,,,,,,
204,the,little,prince,i,never,wished,you,,,,
205,any,harm,but,you,wanted,me,to,tame,,,
206,you,i,know,,,,,,,,
207,said,the,fox,but,you,re,going,,,,
208,to,cry,said,the,little,prince,,,,,
209,i,know,said,the,,,,,,,
210,fox,so,all,this,,,,,,,
211,has,done,you,no,good,at,all,,,,
212,it,has,done,me,good,said,,,,,
213,the,fox,because,of,the,colour,,,,,
214,of,the,wheat,and,then,,,,,,
215,he,added,go,and,see,the,,,,,
216,roses,again,you,ll,understand,,,,,,
217,that,yours,is,unique,in,the,entire,,,,
218,world,then,come,,,,,,,,
219,back,to,say,goodbye,to,me,and,,,,
220,i,ll,make,you,a,present,of,a,secret,,
221,the,little,prince,,,,,,,,
222,went,away,to,see,the,roses,again,,,,
223,you,aren,t,like,my,rose,,,,,
224,at,all,you,are,nothing,yet,,,,,
225,he,told,them,no,one,has,,,,,
226,tamed,you,and,you,haven,t,tamed,anyone,,,
227,you,re,like,my,fox,,,,,,
228,used,to,be,he,was,only,a,fox,,,
229,just,like,a,hundred,thousand,others,,,,,
230,but,i,ve,made,him,my,friend,,,,
231,and,now,he,s,unique,,,,,,
232,in,the,entire,world,,,,,,,
233,and,the,roses,were,very,embarrassed,,,,,
234,you,are,beautiful,,,,,,,,
235,but,you,are,empty,he,went,,,,,
236,on,one,could,not,die,for,you,,,,
237,of,course,an,ordinary,,,,,,,
238,passer,by,would,think,that,my,rose,,,,
239,looked,just,like,you,but,she,,,,,
240,alone,is,more,important,than,all,,,,,
241,of,you,because,it,s,her,that,,,,
242,i,watered,because,it,s,her,that,,,,
243,i,put,under,the,glass,dome,,,,,
244,because,it,s,her,that,i,sheltered,behind,the,screen,
245,because,it,s,for,her,,,,,,
246,that,i,killed,the,caterpillars,except,,,,,
247,two,or,three,to,become,butterflies,,,,,
248,because,it,s,her,that,i,listened,,,,
249,to,grumble,or,boast,,,,,,,
250,or,even,sometimes,when,she,said,nothing,,,,
251,because,she,s,my,rose,,,,,,
252,and,he,went,back,to,,,,,,
253,the,fox,goodbye,,,,,,,,
254,he,said,goodbye,,,,,,,,
255,said,the,fox,,,,,,,,
256,here,s,my,secret,it,s,very,simple,,,
257,one,only,,,,,,,,,
258,sees,clearly,with,the,heart,,,,,,
259,what,is,essential,is,invisible,,,,,,
260,to,the,eye,,,,,,,,
261,what,is,essential,is,invisible,to,,,,,
262,the,eye,repeated,the,little,prince,,,,,
263,so,as,to,remember,,,,,,,
264,it,is,the,time,you,have,wasted,on,your,,
265,rose,that,makes,your,rose,,,,,,
266,so,important,,,,,,,,,
267,it,is,the,time,that,i,have,wasted,on,my,
268,rose,said,the,little,prince,so,,,,,
269,as,to,remember,the,men,,,,,,
270,have,forgotten,this,truth,,,,,,,
271,said,the,fox,but,you,must,,,,,
272,not,forget,it,you,become,,,,,,
273,forever,responsible,for,that,,,,,,,
274,which,you,have,tamed,you,,,,,,
275,are,responsible,for,your,rose,,,,,,
276,i,am,responsible,for,,,,,,,
277,my,rose,repeated,the,little,prince,,,,,
278,so,as,to,remember,,,,,,,
279,good,morning,said,the,little,prince,,,,,
280,good,morning,said,the,,,,,,,
281,railway,switchman,what,,,,,,,,
