,0,1,2,3,4,5,6,7,8,9,10
0,but,it,happened,that,the,little,prince,,,,
1,having,walked,for,a,long,time,through,,,,
2,the,sands,rocks,and,snow,,,,,,
3,at,last,came,across,a,,,,,,
4,road,and,all,roads,,,,,,,
5,lead,to,the,dwellings,of,men,,,,,
6,good,morning,he,said,,,,,,,
7,it,was,a,garden,covered,in,roses,,,,
8,good,morning,said,,,,,,,,
9,the,roses,good,morning,,,,,,,
10,good,morning,,,,,,,,,
11,good,morning,,,,,,,,,
12,the,little,prince,gazed,at,them,,,,,
13,they,all,looked,just,like,,,,,,
14,his,flower,who,are,you,,,,,,
15,he,asked,them,stunned,,,,,,,
16,we,re,roses,the,roses,,,,,,
17,said,we,re,roses,,,,,,,
18,we,re,roses,we,,,,,,,
19,re,roses,,,,,,,,,
20,oh,said,the,little,prince,,,,,,
21,and,he,suddenly,felt,very,,,,,,
22,unhappy,his,flower,,,,,,,,
23,had,told,him,that,she,was,the,only,,,
24,one,of,her,kind,in,the,universe,,,,
25,and,here,were,five,thousand,,,,,,
26,of,them,all,alike,in,one,single,,,,
27,garden,she,d,be,,,,,,,
28,very,upset,he,said,to,himself,,,,,
29,if,she,saw,this,,,,,,,
30,she,d,cough,and,cough,and,pretend,,,,
31,to,die,to,avoid,being,laughed,,,,,
32,at,and,i,d,have,to,pretend,to,,,
33,nurse,her,back,to,life,to,humble,,,,
34,myself,also,because,if,i,didn,t,,,,
35,she,really,would,allow,herself,to,,,,,
36,die,then,he,said,to,,,,,,
37,himself,i,thought,i,was,,,,,,
38,rich,with,a,flower,that,was,one,of,a,kind,
39,and,all,i,have,is,a,,,,,
40,common,rose,that,and,,,,,,,
41,my,three,volcanoes,that,come,up,to,my,,,
42,knees,one,which,is,perhaps,,,,,,
43,forever,extinct,that,doesn,,,,,,,
44,t,make,me,a,very,great,prince,,,,
45,and,lying,in,the,grass,,,,,,
46,he,started,to,cry,,,,,,,
47,it,was,then,that,the,fox,,,,,
48,appeared,good,morning,,,,,,,,
49,said,the,fox,good,morning,,,,,,
50,responded,the,little,prince,politely,,,,,,
51,who,then,turned,around,,,,,,,
52,but,saw,nothing,i,m,right,,,,,
53,here,the,voice,said,under,the,apple,,,,
54,tree,who,are,you,,,,,,,
55,asked,the,little,prince,you,,,,,,
56,re,very,pretty,i,m,a,fox,,,,
57,the,fox,said,,,,,,,,
58,come,and,play,with,me,proposed,the,,,,
59,little,prince,i,m,so,unhappy,,,,,
60,i,can,t,play,with,you,said,,,,
61,the,fox,i,m,not,tamed,,,,,
62,oh,i,m,sorry,said,,,,,,
