,0,1,2,3,4,5,6,7,8,9,10,11
56,s,very,useful,if,you,get,lost,at,night,,,
57,i,have,had,during,my,,,,,,,
58,life,a,lot,of,contact,with,,,,,,
59,many,persons,of,consequence,,,,,,,,
60,i,have,lived,a,lot,amongst,,,,,,
61,the,grownups,i,have,seen,them,from,,,,,
62,close,up,it,hasnt,,much,,,,,,
63,improved,my,opinion,of,them,,,,,,,
64,whenever,i,met,one,of,them,,,,,,
65,that,seemed,a,bit,more,clear,sighted,,,,,
66,i,tried,the,experiment,of,,,,,,,
67,showing,them,my,drawing,number,one,that,i,,,,
68,ve,always,kept,i,wanted,to,,,,,,
69,know,if,they,were,really,a,person,of,TRUE,understanding,,
70,but,they,always,,,,,,,,,
71,responded,it,s,a,hat,,,,,,,
72,so,i,would,never,speak,,,,,,,
73,to,them,of,boa,constrictors,nor,,,,,,
74,of,primeval,forests,nor,,,,,,,,
75,of,the,stars,i,put,myself,,,,,,
76,at,their,level,i,talked,,,,,,,
77,to,them,about,bridge,golf,,,,,,,
78,politics,and,neckties,,,,,,,,,
79,and,the,grownup,was,glad,,,,,,,
80,to,know,such,a,sensible,man,,,,,,
81,so,i,lived,alone,,,,,,,,
82,without,anyone,i,could,really,,,,,,,
83,talk,to,until,a,breakdown,,,,,,,
84,in,the,sahara,desert,six,years,ago,,,,,
85,something,had,broken,in,my,,,,,,,
86,engine,and,as,i,had,with,me,,,,,
87,neither,a,mechanic,nor,any,passengers,,,,,,
88,i,readied,myself,to,try,,,,,,,
89,and,carry,out,all,alone,the,,,,,,
90,difficult,repairs,,,,,,,,,,
91,for,me,it,was,a,matter,of,life,or,death,,
92,i,had,hardly,enough,water,to,,,,,,
93,drink,for,a,week,,,,,,,,
94,the,first,night,i,went,to,sleep,on,the,sand,,
95,a,thousand,miles,from,any,,,,,,,
96,human,habitation,i,,,,,,,,,
97,was,more,isolated,than,a,shipwrecked,sailor,,,,,
98,on,a,raft,in,the,middle,of,the,ocean,,,
99,so,you,can,imagine,my,surprise,,,,,,
100,when,at,daybreak,,,,,,,,,
101,a,funny,little,voice,woke,me,up,,,,,
102,it,said,please,,,,,,,,,
103,draw,me,a,sheep,,,,,,,,
104,what,draw,,,,,,,,,,
105,me,a,sheep,,,,,,,,,
106,i,jumped,to,my,feet,as,if,i,d,been,struck,by
107,lightning,i,rubbed,my,eyes,,,,,,,
108,i,took,a,good,look,around,,,,,,
109,me,and,i,saw,a,quite,,,,,,
110,extraordinary,little,man,,,,,,,,,
111,who,was,examining,me,seriously,,,,,,,
112,here,is,the,best,portrait,that,,,,,,
113,later,i,managed,to,do,of,him,,,,,
114,but,my,drawing,of,course,,,,,,,
115,is,much,less,charming,than,its,model,,,,,
116,it,s,not,my,fault,i,was,,,,,
117,discouraged,in,my,career,as,a,painter,by,,,,
118,the,grownups,at,the,age,of,six,,,,,
119,and,i,hadn,t,learned,to,draw,anything,except,,,
120,boa,constrictors,closed,and,open,,,,,,,
121,i,stared,,,,,,,,,,
122,at,this,sudden,apparition,wide,eyed,,,,,,
123,with,astonishment,remember,,,,,,,,,
124,that,i,was,a,thousand,miles,from,any,,,,
125,inhabited,region,and,yet,,,,,,,,
126,this,little,fellow,seemed,neither,lost,,,,,,
127,nor,half,dead,with,fatigue,,,,,,,
128,nor,starved,or,dying,of,thirst,or,,,,,
129,fear,he,looked,nothing,,,,,,,,
130,like,a,child,lost,in,the,middle,of,the,,,
131,desert,a,thousand,miles,from,,,,,,,
132,any,inhabited,region,,,,,,,,,
133,when,i,finally,managed,to,speak,i,,,,,
134,said,what,are,you,doing,,,,,,,
135,here,and,he,repeated,,,,,,,,
136,very,slowly,as,if,it,was,something,,,,,
137,very,serious,,,,,,,,,,
138,please,draw,,,,,,,,,,
139,me,a,sheep,,,,,,,,,
140,when,a,mystery,is,too,overpowering,,,,,,
141,one,dare,not,disobey,,,,,,,,
142,absurd,as,it,seemed,to,,,,,,,
143,me,a,thousand,miles,from,any,human,,,,,
144,habitation,and,in,danger,,,,,,,,
145,of,death,i,took,out,of,my,pocket,,,,
146,a,sheet,of,paper,and,a,pen,,,,,
147,but,then,i,remembered,that,,,,,,,
148,i,had,mainly,studied,geography,history,,,,,,
149,arithmetic,and,grammar,,,,,,,,,
150,and,i,told,the,little,fellow,a,little,,,,
151,crossly,that,i,did,nt,know,,,,,,
152,how,to,draw,he,replied,,,,,,,
153,it,does,nt,matter,draw,,,,,,,
154,me,a,sheep,,,,,,,,,
155,as,i,d,never,drawn,a,sheep,i,,,,
156,redrew,for,him,one,of,the,only,two,drawings,,,
157,that,i,was,capable,of,,,,,,,
158,the,one,of,the,closed,boa,constrictor,,,,,
159,and,i,was,astounded,to,hear,,,,,,
160,the,little,fellow,respond,no,,,,,,,
161,no,i,do,nt,want,an,,,,,,
162,elephant,inside,a,boa,constrictor,,,,,,,
163,a,boa,constrictor,,,,,,,,,
