,0,1,2,3,4,5,6,7,8,9,10
148,follows,they,also,eat,baobabs,,,,,,
149,i,pointed,out,to,,,,,,,
150,the,little,prince,that,baobabs,were,not,,,,
151,shrubs,but,trees,as,big,,,,,,
152,as,churches,and,that,even,,,,,,
153,if,he,took,with,him,a,whole,herd,of,elephants,
154,the,herd,wouldn,t,manage,,,,,,
155,to,eat,up,one,single,baobab,,,,,
156,the,idea,of,,,,,,,,
157,the,herd,of,elephants,made,the,little,prince,,,
158,laugh,they,d,have,to,be,piled,,,,
159,up,on,top,of,each,other,,,,,
160,but,he,remarked,wisely,,,,,,,
161,the,baobab,trees,before,they,,,,,,
162,grow,up,start,off,small,,,,,,
163,that,s,right,but,,,,,,,
164,why,do,you,want,the,sheep,to,eat,the,little,
165,baobabs,he,replied,,,,,,,,
166,oh,come,on,as,if,,,,,,
167,it,were,obvious,and,it,took,me,,,,
168,a,great,mental,effort,to,understand,,,,,
169,this,problem,on,my,own,without,,,,,
170,any,help,and,indeed,,,,,,,
171,on,the,planet,of,the,little,,,,,
172,prince,there,were,like,on,all,planets,,,,
173,both,good,plants,,,,,,,,
174,and,bad,plants,and,therefore,,,,,,
175,both,good,seeds,from,good,,,,,,
176,plants,and,bad,seeds,from,,,,,,
177,bad,plants,but,seeds,,,,,,,
178,are,invisible,they,sleep,secretly,,,,,,
179,deep,in,the,earth,until,,,,,,
180,on,a,whim,one,of,them,decides,,,,
181,to,wake,up,then,it,elongates,,,,,
182,and,grows,timidly,,,,,,,,
183,at,first,toward,the,sun,,,,,,
184,a,charming,little,harmless,sprig,,,,,,
185,if,it,s,a,sprig,of,radish,,,,
186,or,rose,bush,you,can,let,it,grow,as,it,
187,likes,but,if,it,s,a,bad,,,,
188,plant,one,must,pull,the,plant,,,,,
189,out,straight,away,as,soon,,,,,,
190,as,it,can,be,recognised,,,,,,
191,now,there,were,some,terrible,seeds,,,,,
192,on,the,planet,of,the,little,prince,,,,
193,there,were,the,seeds,of,baobab,trees,,,,
194,the,soil,of,the,planet,,,,,,
195,was,infested,with,them,,,,,,,
196,a,baobab,if,you,get,to,,,,,
197,it,too,late,can,never,be,,,,,
198,got,rid,of,it,takes,over,,,,,
199,the,entire,planet,pierces,,,,,,,
200,it,with,its,roots,and,,,,,,
201,if,the,planet,is,too,small,,,,,
202,and,if,there,are,too,many,baobabs,,,,
203,they,shatter,it,to,pieces,,,,,,
204,it,s,a,matter,of,discipline,,,,,
205,the,little,prince,told,me,later,,,,,
206,after,grooming,oneself,,,,,,,,
207,in,the,morning,the,planet,must,,,,,
208,be,carefully,groomed,you,,,,,,,
209,must,see,to,it,that,you,regularly,pull,,,
210,out,the,baobabs,as,soon,as,they,can,,,
211,be,told,apart,from,the,rose,bushes,,,,
212,to,which,they,look,very,similar,when,,,,
213,they,re,very,young,it,s,a,very,,,
214,boring,job,but,very,easy,,,,,,
215,and,one,day,,,,,,,,
216,he,suggested,that,i,apply,myself,,,,,
217,to,making,a,beautiful,drawing,so,,,,,
218,that,the,children,from,where,i,come,would,,,
219,understand,all,this,,,,,,,,
220,if,one,day,they,travel,he,said,,,,
221,to,me,it,could,come,in,useful,,,,
222,sometimes,there,s,no,harm,,,,,,
223,in,postponing,one,s,work,,,,,,
224,but,in,the,case,of,baobabs,that,always,,,
225,leads,to,a,catastrophe,,,,,,,
226,i,used,to,know,a,planet,inhabited,,,,
227,by,a,lazy,man,he,,,,,,
228,had,neglected,three,little,bushes,,,,,,
229,and,based,on,,,,,,,,
230,what,the,little,prince,told,me,i,,,,
231,drew,this,planet,i,don,t,,,,,
