,0,1,2,3,4,5,6,7,8,9
159,of,electricity,it,was,necessary,,,,,
160,to,maintain,over,the,span,of,the,,,
161,six,continents,a,veritable,,,,,,
162,army,of,four,hundred,and,sixty,,,,
163,two,thousand,five,hundred,and,eleven,,,,
164,streetlamp,lighters,,,,,,,,
165,seen,from,a,distance,it,made,,,,
166,a,wonderful,spectacle,,,,,,,
167,the,movements,of,this,army,were,regulated,,,
168,like,those,of,an,opera,ballet,,,,
169,first,came,the,turn,of,,,,,
170,the,lamplighters,of,new,zealand,and,australia,,,
171,having,set,their,lamps,,,,,,
172,alight,they,would,go,off,to,bed,,,
173,next,came,the,turn,of,the,lamplighters,,,
174,of,china,and,siberia,,,,,,
175,to,enter,into,the,dance,then,,,,
176,they,too,would,disappear,into,the,wings,,,
177,then,came,the,turn,of,,,,,
178,the,lamplighters,of,russia,and,the,indies,,,
179,then,those,of,africa,,,,,,
180,and,europe,then,those,of,south,,,,
181,america,then,those,of,north,america,,,,
182,and,never,would,they,,,,,,
183,make,a,mistake,in,their,order,of,entry,,
184,on,stage,it,was,magnificent,,,,,
185,,,,,,,,,,
186,only,the,lamplighter,of,the,single,,,,
187,lamp,of,the,north,pole,and,his,colleague,,
188,at,the,single,lamp,of,the,south,pole,,
189,led,lives,of,leisure,,,,,,
190,they,worked,twice,a,year,,,,,
191,when,one,wants,to,be,witty,,,,
192,it,can,happen,that,one,bends,,,,
193,the,truth,a,little,i,haven,,,,
194,t,been,entirely,honest,in,,,,,
195,telling,you,about,the,lamplighters,,,,,
196,i,run,the,risk,of,giving,a,FALSE,,
197,idea,of,our,planet,to,those,who,don,,
198,t,know,it,men,,,,,,
199,take,up,very,little,space,on,the,earth,,
200,if,the,two,billion,people,,,,,
201,who,inhabit,the,earth,were,to,stand,,,
202,upright,and,squash,together,a,little,,,,
203,like,for,a,meeting,they,would,,,,
204,easily,fit,on,one,public,,,,,
205,square,twenty,miles,long,and,twenty,,,,
206,miles,wide,all,,,,,,,
207,humanity,could,be,piled,up,on,,,,
208,the,smallest,pacific,islet,,,,,,
209,the,grownups,of,course,won,t,,,,
210,believe,you,they,picture,themselves,,,,,
211,as,taking,up,a,lot,of,space,they,,
212,think,themselves,as,important,,,,,,
213,as,the,baobabs,therefore,,,,,,
214,you,should,advise,them,to,do,the,math,,
215,they,adore,numbers,and,that,will,please,them,,
216,but,don,t,waste,your,time,on,this,chore,
217,there,s,no,point,you,trust,me,,,
218,the,little,prince,,,,,,,
219,having,arrived,on,earth,was,very,,,,
220,surprised,not,to,see,anyone,,,,,
221,he,had,already,started,to,worry,,,,
222,that,he,d,got,the,wrong,planet,when,a,
223,moon,coloured,coil,stirred,in,,,,,
224,the,sand,good,evening,,,,,,
225,said,the,little,prince,courteously,,,,,
226,good,evening,said,the,,,,,,
227,snake,on,what,planet,,,,,,
228,have,i,come,down,on,asked,the,,,
229,little,prince,onto,earth,,,,,,
230,in,africa,the,snake,,,,,,
231,answered,oh,,,,,,,,
232,so,there,s,no,one,on,earth,,,
233,this,is,the,desert,there,is,,,,
234,no,one,in,the,deserts,the,earth,,,
235,is,large,said,the,snake,,,,,
236,the,little,prince,sat,down,,,,,
237,on,a,stone,and,raised,his,eyes,,,
238,toward,the,sky,i,wonder,,,,,
239,he,said,if,the,stars,,,,,
240,are,lit,so,that,each,of,us,can,,
241,one,day,find,his,own,again,,,,
242,look,at,my,planet,it,,,,,
243,s,right,there,above,us,but,it,s,,
244,so,far,away,it,,,,,,
245,is,beautiful,said,the,snake,,,,,
246,what,has,brought,you,here,,,,,
247,i,ve,been,having,some,trouble,with,,,
248,a,flower,said,the,little,prince,,,,
249,ah,said,the,snake,,,,,,
250,and,they,were,silent,,,,,,
251,where,are,the,men,,,,,,
252,asked,the,little,prince,at,last,,,,
253,it,s,a,bit,lonely,in,the,desert,,
254,it,is,also,lonely,,,,,,
255,amongst,men,the,snake,said,,,,,
256,the,little,prince,,,,,,,
257,gazed,at,him,for,a,long,time,,,
258,you,re,a,funny,animal,,,,,
259,he,said,finally,as,thin,,,,,
260,as,a,finger,but,i,am,,,,
261,more,powerful,than,the,finger,of,a,king,,
262,said,the,snake,,,,,,,
263,the,little,prince,smiled,,,,,,
264,you,re,not,very,powerful,you,haven,,,
265,t,even,got,any,legs,,,,,
266,you,can,t,even,travel,,,,,
267,i,can,carry,you,further,than,a,,,
268,ship,said,the,snake,,,,,,
269,he,wrapped,himself,around,the,little,,,,
270,prince,s,ankle,like,a,golden,,,,
271,bracelet,whoever,,,,,,,,
272,i,touch,i,send,him,back,,,,
273,to,the,earth,from,which,he,came,,,
274,he,continued,but,you,,,,,,
275,are,pure,and,you,come,from,a,,,
276,star,the,little,prince,,,,,,
277,made,no,reply,,,,,,,
278,i,feel,sorry,for,you,so,,,,
279,weak,on,this,earth,made,of,granite,,,
280,i,can,help,you,,,,,,
281,if,someday,you,become,too,,,,,
