time,f0,intensity
3.14,329.32,0.32
3.15,330.41,0.26
3.16,331.55,0.2
3.17,333.05,0.13
3.18,333.16,0.07
3.19,330.03,0.03
3.2,323.63,0.01
3.21,316.39,0.01
3.22,309.14,0
3.23,301.9,0
3.24,294.66,0
3.25,287.41,0
3.26,280.17,0
3.27,272.93,0
3.28,265.68,0
3.29,258.44,0
3.3,251.19,0
3.31,243.95,0
3.32,236.71,0
3.33,229.46,0
3.34,222.22,0
3.35,214.97,0
3.36,207.73,0
3.37,200.49,0
3.38,193.24,0
3.39,186,0
3.4,178.75,0
3.41,171.51,0
3.42,164.27,0
3.43,157.02,0
3.44,149.78,0.01
3.45,142.53,0.04
3.46,135.29,0.07
3.47,128.05,0.09
3.48,120.8,0.11
3.49,113.56,0.11
3.5,106.31,0.09
3.51,99.07,0.05
3.52,91.83,0.08
3.53,71.73,0.23
3.54,174.91,0.3
3.55,189.81,0.26
3.56,178.88,0.19
3.57,175.04,0.14
3.58,164.6,0.11
3.59,159.61,0.07
3.6,159.96,0.04
3.61,166.19,0.02
3.62,152.24,0.01
3.63,169.77,0
3.64,127.94,0
3.65,86.11,0.01
3.66,72.07,0.03
3.67,64.04,0.05
3.68,148.18,0.1
3.69,164.33,0.11
3.7,169.39,0.1
3.71,168.22,0.11
3.72,167.33,0.1
3.73,166.2,0.1
3.74,165.42,0.1
3.75,163.9,0.09
3.76,162.46,0.09
3.77,164.44,0.1
3.78,163.54,0.1
3.79,159,0.11
3.8,157.13,0.11
3.81,153.75,0.11
3.82,154.66,0.11
3.83,152.89,0.11
3.84,153.63,0.11
3.85,150.37,0.1
3.86,149.68,0.09
3.87,150.25,0.09
3.88,149.28,0.08
3.89,169.56,0.06
3.9,84.9,0.03
3.91,98.8,0.01
3.92,115.54,0.01
3.93,130.79,0
3.94,146.04,0
3.95,161.29,0.04
3.96,176.54,0.09
3.97,191.79,0.12
3.98,207.04,0.1
3.99,222.29,0.06
4,237.54,0.02
4.01,252.79,0.07
4.02,105.04,0.09
4.03,93.22,0.09
4.04,94.92,0.1
4.05,185.44,0.11
4.06,199.44,0.13
4.07,205.16,0.14
4.08,209.05,0.14
4.09,212.63,0.13
4.1,215.99,0.13
4.11,219.94,0.12
4.12,215.23,0.09
4.13,213.47,0.06
4.14,214.75,0.04
4.15,217.31,0.02
4.16,219.96,0.01
4.17,219.32,0.01
4.18,166.77,0.03
4.19,164.58,0.05
4.2,165.26,0.04
4.21,165.94,0.01
4.22,166.61,0
4.23,167.29,0
4.24,167.96,0
4.25,168.64,0
4.26,169.32,0
4.27,169.99,0
4.28,170.67,0
4.29,171.35,0
4.3,172.02,0
4.31,172.7,0
4.32,173.38,0
4.33,174.05,0
4.34,174.73,0
4.35,175.41,0
4.36,176.08,0
4.37,176.76,0
4.38,177.44,0
4.39,178.11,0
4.4,178.79,0
4.41,179.46,0
4.42,180.14,0
4.43,180.82,0
4.44,181.49,0
4.45,182.17,0
4.46,182.85,0
4.47,183.52,0
4.48,184.2,0
4.49,184.88,0
4.5,185.55,0
4.51,186.23,0
4.52,186.91,0
4.53,187.58,0
4.54,188.26,0
4.55,188.94,0
4.56,189.61,0
4.57,190.29,0
4.58,190.96,0
4.59,191.64,0
4.6,192.32,0
4.61,192.99,0
4.62,193.67,0
4.63,194.35,0
4.64,195.02,0
4.65,195.7,0
4.66,196.38,0
4.67,197.05,0
4.68,197.73,0
4.69,198.41,0
4.7,199.08,0
4.71,199.76,0
4.72,200.44,0
4.73,201.11,0.01
4.74,201.79,0.01
4.75,202.46,0.01
4.76,203.14,0.01
4.77,203.82,0.01
4.78,204.49,0.01
4.79,205.17,0.01
4.8,205.85,0.01
4.81,206.52,0.01
4.82,207.2,0.01
4.83,207.88,0.01
4.84,208.55,0.01
4.85,209.23,0.01
4.86,209.91,0.01
4.87,210.58,0.01
4.88,211.26,0.01
4.89,211.94,0
4.9,212.61,0
4.91,213.29,0
4.92,213.96,0
4.93,214.64,0
4.94,215.32,0
4.95,215.99,0
4.96,216.67,0
4.97,220.92,0.01
4.98,242.85,0.07
4.99,222.85,0.12
5,218.48,0.14
5.01,219.89,0.15
5.02,221.42,0.13
5.03,224.02,0.13
5.04,249.44,0.26
5.05,256.54,0.34
5.06,261.33,0.36
5.07,262.03,0.38
5.08,264.16,0.36
5.09,265.15,0.35
5.1,265.01,0.32
5.11,264.45,0.27
5.12,258.05,0.2
5.13,247.58,0.13
5.14,248.98,0.15
5.15,250.37,0.19
5.16,251.77,0.22
5.17,253.17,0.24
5.18,254.56,0.22
5.19,255.96,0.21
5.2,257.36,0.19
5.21,258.75,0.16
5.22,260.15,0.16
5.23,261.55,0.13
5.24,262.94,0.07
5.25,266.87,0.12
5.26,277.93,0.22
5.27,274.56,0.27
5.28,272.8,0.3
5.29,270.59,0.32
5.3,267.18,0.33
5.31,262.86,0.3
5.32,253.98,0.26
5.33,236.8,0.21
5.34,231.68,0.16
5.35,235.38,0.15
5.36,239.09,0.14
5.37,242.79,0.14
5.38,246.49,0.15
5.39,250.2,0.14
5.4,251.62,0.17
5.41,245.55,0.28
5.42,240.72,0.33
5.43,234.74,0.3
5.44,224.75,0.25
5.45,220.42,0.23
5.46,220.52,0.25
5.47,221.94,0.29
5.48,220.81,0.31
5.49,219.95,0.32
5.5,219.21,0.33
5.51,218.54,0.33
5.52,217.3,0.32
5.53,217.07,0.32
5.54,216.48,0.31
5.55,215.32,0.32
5.56,218.06,0.32
5.57,223.24,0.29
5.58,211.28,0.25
5.59,209.62,0.24
5.6,208.95,0.24
5.61,207.75,0.25
5.62,206.5,0.25
5.63,204.82,0.25
5.64,204.03,0.26
5.65,203.58,0.27
5.66,202.4,0.27
5.67,198.69,0.27
5.68,192.64,0.22
5.69,185.82,0.12
5.7,187.8,0.03
5.71,189.79,0.02
5.72,191.77,0.01
5.73,193.75,0.04
5.74,195.74,0.09
