,0,1,2,3,4,5,6,7,8,9,10
0,the,fourth,planet,belonged,to,a,businessman,,,,
1,this,man,was,so,,,,,,,
2,busy,that,he,didnt,,even,raise,his,,,
3,head,when,the,little,prince,arrived,,,,,
4,good,morning,the,little,,,,,,,
5,prince,said,to,him,your,cigarette,,,,,
6,has,gone,out,,,,,,,,
7,three,and,two,make,five,,,,,,
8,five,and,seven,make,twelve,,,,,,
9,twelve,and,three,make,fifteen,,,,,,
10,good,morning,fifteen,and,,,,,,,
11,seven,make,twenty,two,twenty,,,,,,
12,two,and,six,make,twenty,eight,no,,,,
13,time,to,light,it,again,twenty,six,and,,,
14,five,make,thirty,one,phew,,,,,,
15,then,that,makes,,,,,,,,
16,five,hundred,and,one,million,,,,,,
17,six,hundred,and,twenty,two,thousand,,,,,
18,seven,hundred,and,thirty,one,,,,,,
19,five,hundred,million,,,,,,,,
20,what,huh,,,,,,,,,
21,are,you,still,there,five,,,,,,
22,hundred,and,one,million,i,ve,forgotten,,,,
23,now,i,have,so,much,work,,,,,
24,i,am,a,man,of,consequence,i,dont,,amuse,myself
25,with,balderdash,,,,,,,,,
26,two,and,five,make,seven,five,,,,,
27,hundred,and,one,million,what,repeated,,,,,
28,the,little,prince,who,had,never,in,his,,,
29,life,let,go,of,a,question,once,he,,,
30,had,asked,it,the,businessman,raised,,,,,
31,his,head,during,the,fifty,,,,,,
32,four,years,that,i,ve,lived,on,this,planet,,
33,i,ve,only,been,disturbed,three,times,,,,
34,the,first,time,was,twenty,two,,,,,
35,years,ago,by,some,scatterbrain,,,,,,
36,who,fell,from,god,knows,where,,,,,
37,he,made,the,most,dreadful,noise,and,,,,
38,i,made,four,mistakes,in,a,sum,,,,
39,the,second,time,was,eleven,years,ago,by,,,
40,an,attack,of,rheumatism,i,dont,,get,,,
41,enough,exercise,i,dont,,have,time,to,stroll,,
42,about,i,am,a,man,of,consequence,,,,
43,the,third,time,well,,,,,,,
44,this,is,it,i,was,saying,then,,,,
45,five,hundred,and,one,million,,,,,,
46,millions,of,what,,,,,,,,
47,the,businessman,realised,,,,,,,,
48,that,there,was,no,hope,of,being,left,,,
49,in,peace,millions,of,those,,,,,,
50,little,objects,that,you,see,sometimes,in,,,,
51,the,sky,flies,,,,,,,,
52,no,no,the,little,things,,,,,,
53,that,shine,bees,,,,,,,,
54,no,no,the,little,,,,,,,
55,golden,things,that,make,lazy,,,,,,
56,men,daydream,,,,,,,,,
57,as,for,me,i,am,a,man,of,consequence,,
58,i,have,no,time,to,daydream,,,,,
59,ah,the,stars,,,,,,,,
60,yes,that,s,it,the,stars,,,,,
61,and,what,do,you,do,with,,,,,
62,five,hundred,million,stars,,,,,,,
63,five,hundred,and,one,million,six,,,,,
64,hundred,twenty,two,thousand,seven,hundred,,,,,
65,thirty,one,i,am,a,man,of,consequence,,,
66,i,am,precise,,,,,,,,
67,and,what,do,you,do,with,these,stars,,,
68,what,do,i,do,with,them,yes,,,,
69,nothing,i,own,them,,,,,,,
70,you,own,the,stars,,,,,,,
71,yes,,,,,,,,,,
72,but,i,ve,already,seen,a,king,who,,,
73,kings,don't,,own,they,reign,,,,,
74,over,it,s,very,different,,,,,,
75,and,how,does,owning,,,,,,,
76,the,stars,help,you,,,,,,,
77,it,helps,by,making,me,rich,,,,,
78,and,how,does,being,rich,help,,,,,
79,you,to,buy,more,stars,,,,,,
80,if,someone,discovers,some,more,,,,,,
81,this,man,,,,,,,,,
82,the,little,prince,said,to,himself,,,,,
83,reasons,a,bit,like,my,poor,drinker,,,,
84,but,he,still,had,some,,,,,,
85,questions,how,,,,,,,,,
86,can,you,own,the,stars,,,,,,
87,who,owns,them,the,businessman,retorted,,,,,
88,grumpily,i,don't,,,,,,,,
89,know,nobody,does,then,,,,,,,
90,they,belong,to,me,because,i,thought,of,it,first,
91,is,that,all,that,s,necessary,,,,,
92,certainly,,,,,,,,,,
93,when,you,find,a,diamond,that,belongs,to,nobody,,
94,it,s,yours,when,you,discover,,,,,
95,an,island,that,belongs,to,nobody,it,s,yours,,
96,when,you,get,an,idea,first,,,,,
97,you,take,out,a,patent,it,s,yours,,,
98,and,i,own,the,stars,,,,,,
99,because,no,one,before,me,ever,thought,of,owning,,
100,them,yes,that,s,TRUE,,,,,,
101,said,the,little,prince,,,,,,,
102,and,what,do,you,do,with,them,i,,,
103,administer,them,i,count,them,and,,,,,
104,recount,them,said,the,businessman,,,,,,
105,it,s,difficult,but,i,am,a,man,of,consequence,
106,the,little,,,,,,,,,
107,prince,was,still,not,satisfied,,,,,,
108,if,i,owned,,,,,,,,
109,a,scarf,i,could,put,it,around,,,,
110,my,neck,and,take,it,away,with,me,,,
111,if,i,owned,a,flower,i,,,,,
112,could,pick,my,flower,and,take,it,away,with,,
113,me,but,you,cant,,pick,the,stars,,,
114,no,but,i,can,,,,,,,
115,put,them,in,the,bank,what,does,that,,,
116,mean,that,means,,,,,,,,
117,that,i,write,the,number,of,my,stars,on,a,little
118,paper,and,then,i,lock,this,paper,,,,
119,in,a,drawer,and,that,s,all,,,,
120,that,s,enough,,,,,,,,
121,that,s,funny,thought,the,little,prince,,,,
122,it,s,rather,poetic,,,,,,,
123,but,it,s,of,no,great,consequence,,,,
124,on,matters,of,consequence,,,,,,,
125,the,little,prince,had,ideas,,,,,,
126,which,were,very,different,from,those,of,,,,
127,the,grownups,i,myself,,,,,,,
128,he,continued,own,,,,,,,,
129,a,flower,that,i,water,every,day,,,,
130,i,own,three,volcanoes,that,,,,,,
131,i,sweep,out,every,week,as,i,also,,,
132,sweep,out,the,one,that,s,extinct,,,,
133,you,never,know,it,s,of,some,,,,
134,use,to,my,volcanoes,and,it,,,,,
135,s,of,some,use,to,my,flower,that,i,own,
136,them,but,you,re,of,no,use,to,,,
137,the,stars,,,,,,,,,
138,the,businessman,opened,his,mouth,but,he,,,,
139,found,nothing,to,say,in,response,,,,,
140,and,the,little,prince,went,away,,,,,
141,the,grownups,are,certainly,,,,,,,
142,altogether,extraordinary,,,,,,,,,
143,he,said,to,himself,as,he,continued,on,the,,
144,journey,,,,,,,,,,
145,the,fifth,planet,was,very,strange,,,,,
146,it,was,the,smallest,of,them,all,,,,
147,there,was,just,enough,room,on,,,,,
148,it,to,accommodate,a,street,lamp,and,,,,
149,a,lamplighter,the,little,,,,,,,
150,prince,couldn't,,work,out,the,purpose,of,,,
151,having,a,street,lamp,and,a,lamplighter,,,,
152,somewhere,out,in,the,skies,on,a,planet,,,
153,without,any,houses,or,people,,,,,,
154,he,said,to,himself,nevertheless,,,,,,
155,it,may,well,be,that,,,,,,
156,this,man,is,absurd,but,,,,,,
157,he,s,less,absurd,than,the,king,,,,
158,than,the,conceited,man,the,businessman,,,,,
159,or,the,drinker,at,least,his,,,,,
160,work,has,some,meaning,when,he,lights,,,,
161,his,lamp,it,s,as,if,he,s,bringing,,
162,to,life,one,more,star,or,one,,,,
163,more,flower,when,he,puts,out,,,,,
164,his,lamp,he,sends,the,flower,,,,,
165,or,the,star,to,sleep,that,s,a,beautiful,,
166,occupation,it,serves,,,,,,,,
167,a,real,purpose,because,it,s,pretty,,,,
168,when,he,arrived,on,,,,,,,
169,the,planet,he,respectfully,saluted,,,,,,
170,the,lamplighter,good,morning,,,,,,,
171,why,have,you,just,put,out,,,,,
