,0,1,2,3,4,5,6,7,8,9,10
172,your,lamp,those,are,the,orders,,,,,
173,replied,the,lamplighter,good,,,,,,,
174,morning,what,are,the,orders,,,,,,
175,that,i,put,out,my,lamp,good,,,,
176,evening,and,he,lit,it,again,,,,,
177,but,why,have,you,just,lit,it,again,,,
178,those,are,the,orders,replied,,,,,,
179,the,lamplighter,i,don't,,understand,,,,,
180,said,the,little,prince,,,,,,,
181,there,s,nothing,to,understand,said,the,,,,
182,lamplighter,orders,are,orders,,,,,,,
183,good,morning,and,he,put,out,his,lamp,,,
184,then,he,sponged,his,,,,,,,
185,forehead,with,a,handkerchief,decorated,with,,,,,
186,red,squares,i,have,a,terrible,,,,,
187,profession,in,the,old,days,,,,,,
188,it,was,reasonable,i,d,put,the,lamp,,,
189,out,in,the,morning,and,in,the,evening,i,d,light
190,it,i,had,the,rest,of,the,day,to,,
191,rest,and,the,rest,of,the,night,to,sleep,,
192,and,since,then,,,,,,,,
193,have,the,orders,changed,the,,,,,,
194,orders,haven't,,changed,said,the,lamplighter,,,,
195,that,s,the,tragedy,every,,,,,,
196,year,the,planet,has,turned,faster,,,,,
197,and,faster,and,the,orders,haven't,,changed,,,
198,so,what,then,,,,,,,,
199,said,the,little,prince,,,,,,,
200,so,now,that,it,spins,round,once,every,,,
201,minute,i,no,longer,have,a,moment,s,rest,,
202,once,every,minute,i,,,,,,,
203,light,the,lamp,and,put,it,out,again,,,
204,that,s,funny,where,you,,,,,,
205,live,a,day,only,lasts,a,minute,,,,
206,it,s,not,funny,at,all,said,,,,
207,the,lamplighter,we,ve,already,been,speaking,,,,
208,for,a,month,a,month,,,,,,
209,yes,thirty,minutes,,,,,,,,
210,thirty,days,good,evening,,,,,,,
211,and,he,lit,his,lamp,again,,,,,
212,the,little,prince,watched,him,,,,,,
213,and,felt,that,he,loved,this,lamplighter,who,,,
214,was,so,faithful,to,his,orders,,,,,
215,he,remembered,the,sunsets,which,,,,,,
216,he,himself,had,gone,to,seek,in,the,past,,
217,by,moving,his,chair,,,,,,,
218,he,wanted,to,help,his,friend,,,,,
219,you,know,i,know,,,,,,,
220,a,way,you,can,rest,whenever,you,want,,,
221,i,always,want,to,,,,,,,
222,said,the,lamplighter,for,it,s,possible,,,,
223,to,be,both,faithful,and,lazy,,,,,
224,at,the,same,time,,,,,,,
225,the,little,prince,went,on,,,,,,
226,your,planet,is,so,small,that,,,,,
227,you,can,go,right,round,it,in,three,strides,,
228,you,only,have,to,walk,,,,,,
229,along,rather,slowly,to,always,stay,,,,,
230,in,the,sun,when,you,want,to,rest,,,
231,you,can,walk,and,the,,,,,,
232,day,will,last,as,long,as,you,like,,,
233,that,doesn't,,do,me,much,good,,,,
234,said,the,lamplighter,what,i,really,,,,,
235,love,in,life,is,to,sleep,,,,,
236,that,s,bad,luck,said,the,little,prince,,,
237,that,is,bad,luck,,,,,,,
238,said,the,lamplighter,good,morning,,,,,,
239,and,he,put,out,his,lamp,,,,,
240,that,man,said,the,little,prince,,,,,
241,to,himself,as,he,continued,further,,,,,
242,on,his,journey,that,man,,,,,,
243,would,be,despised,by,all,the,others,,,,
244,by,the,king,by,the,conceited,man,,,,
245,by,the,drinker,and,by,the,businessman,,,,
246,yet,he,s,the,only,one,,,,,
247,that,doesn't,,seem,ridiculous,to,me,,,,
248,perhaps,it,s,because,he,thinks,of,something,,,
249,other,than,himself,,,,,,,,
250,he,breathed,a,sigh,of,regret,and,said,,,
251,to,himself,that,man,,,,,,,
252,is,the,only,one,with,whom,i,could,ve,made,friends
253,but,his,planet,is,really,,,,,,
254,very,small,there,s,no,,,,,,
255,room,on,it,for,two,people,,,,,
256,what,the,little,prince,didn't,,,,,,
257,dare,admit,to,himself,was,that,he,,,,
258,missed,this,blessed,planet,most,of,,,,,
259,all,because,of,the,one,thousand,four,hundred,,,
260,and,forty,sunsets,every,day,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
