,0,1,2,3,4,5,6,7,8,9
65,my,question,he,said,simply,,,,,
66,water,can,be,good,for,the,,,,
67,heart,too,i,didn,,,,,,
68,t,understand,his,answer,but,i,,,,
69,said,nothing,i,knew,better,,,,,
70,than,to,press,my,questions,,,,,
71,he,was,tired,he,sat,down,,,,
72,i,sat,down,beside,him,,,,,
73,and,after,a,silence,,,,,,
74,he,spoke,again,,,,,,,
75,the,stars,are,beautiful,because,of,a,flower,,
76,that,can,t,be,seen,,,,,
77,i,replied,that,s,TRUE,,,,,
78,and,i,looked,without,,,,,,
79,saying,anything,at,the,folds,,,,,
80,of,sand,in,the,moonlight,,,,,
81,the,desert,is,beautiful,,,,,,
82,the,little,prince,added,,,,,,
83,and,it,was,TRUE,i,have,always,loved,,
84,the,desert,you,sit,,,,,,
85,down,on,a,sand,dune,you,see,nothing,,
86,you,hear,nothing,,,,,,,
87,and,yet,something,radiates,,,,,,
88,forth,in,the,silence,,,,,,
89,what,makes,the,desert,,,,,,
90,beautiful,said,the,little,prince,,,,,
91,is,that,somewhere,it,,,,,,
92,hides,a,well,,,,,,,
93,i,was,surprised,to,suddenly,,,,,
94,understand,this,mysterious,radiation,,,,,,
95,of,the,sands,,,,,,,
96,when,i,was,a,little,boy,i,lived,,
97,in,an,old,house,and,legend,,,,
98,told,that,a,treasure,was,buried,,,,
99,there,of,course,no,one,,,,,
100,had,ever,been,able,to,find,it,,,
101,or,perhaps,no,one,had,even,looked,for,it,
102,but,it,cast,an,enchantment,,,,,
103,over,that,house,,,,,,,
104,my,home,was,hiding,a,secret,,,,
105,in,the,depths,of,its,heart,,,,
106,yes,i,said,to,the,little,prince,,,
107,whether,the,house,,,,,,,
108,the,stars,or,the,desert,,,,,
109,what,gives,them,their,beauty,is,something,,,
110,invisible,i,m,glad,,,,,,
111,he,said,that,you,agree,with,,,,
112,my,fox,,,,,,,,
113,as,the,little,prince,fell,asleep,,,,
114,i,took,him,in,my,arms,and,set,out,
115,walking,again,i,felt,,,,,,
116,deeply,moved,it,,,,,,,
117,seemed,to,me,that,i,was,carrying,a,very,
118,fragile,treasure,it,,,,,,,
119,even,seemed,to,me,that,there,was,nothing,,
120,more,fragile,on,earth,,,,,,
121,i,looked,in,the,moonlight,,,,,
122,at,his,pale,forehead,his,closed,,,,
123,eyes,his,locks,of,hair,,,,,
124,that,trembled,in,the,wind,,,,,
125,and,i,said,to,myself,,,,,
126,what,i,see,here,is,only,a,shell,,
127,that,which,is,most,important,,,,,
128,is,invisible,,,,,,,,
129,as,his,slightly,parted,lips,,,,,
130,gave,way,to,a,half,smile,i,continued,,
131,what,i,find,so,,,,,,
132,deeply,moving,about,this,little,sleeping,,,,
133,prince,is,his,devotion,,,,,,
134,to,a,flower,it,,,,,,
135,s,the,image,of,a,rose,that,shines,,
136,in,him,like,the,flame,of,a,lamp,even,
137,when,he,s,sleeping,and,,,,,
138,i,came,to,think,of,him,as,even,more,
139,fragile,one,,,,,,,,
140,has,to,look,after,lamps,,,,,
141,a,gust,of,wind,can,put,them,out,,
142,and,continuing,to,walk,,,,,,
143,i,found,the,well,at,daybreak,,,,
144,men,,,,,,,,,
145,said,the,little,prince,stuff,,,,,
146,themselves,into,express,trains,,,,,,
147,but,they,don,t,know,what,they,re,looking,for
148,so,they,rush,about,and,go,in,,,
149,circles,and,he,added,,,,,,
150,it,s,not,worth,it,,,,,
151,the,well,we,had,,,,,,
152,reached,wasn,t,like,the,other,wells,of,,
153,the,sahara,the,wells,of,,,,,
154,the,sahara,are,mere,holes,,,,,
155,dug,in,the,sand,this,one,,,,
156,looked,like,a,village,well,,,,,
157,but,there,was,no,village,there,and,,,
158,i,thought,i,was,dreaming,,,,,
159,it,s,strange,i,said,to,the,little,prince,
160,everything,s,been,prepared,,,,,,
161,the,pulley,the,bucket,and,the,rope,,,
162,he,laughed,took,the,,,,,,
163,rope,and,put,the,pulley,to,work,,,
164,and,the,pulley,moaned,,,,,,
165,like,an,old,weathervane,when,there,has,,,
166,long,been,no,wind,,,,,,
167,can,you,hear,that,said,the,little,prince,,
168,we,ve,woken,up,the,well,,,,
169,and,it,s,singing,i,didn,,,,
170,t,want,him,to,tire,himself,out,,,
171,let,me,do,it,i,said,it,,,
172,s,too,heavy,for,you,i,,,,
173,hoisted,the,bucket,slowly,to,the,,,,
174,edge,of,the,well,and,set,it,down,good,
175,and,level,the,song,of,the,pulley,,,
176,continued,in,my,ears,,,,,,
177,and,in,the,still,trembling,water,,,,
178,i,could,see,the,sunlight,shimmer,,,,
179,i,m,thirsty,for,this,,,,,
180,water,said,the,little,prince,,,,,
181,give,me,some,to,drink,,,,,
182,and,i,knew,then,what,he,d,been,looking,
183,for,i,raised,the,,,,,,
184,bucket,to,his,lips,he,drank,,,,
185,his,eyes,closed,,,,,,,
186,it,was,as,sweet,as,some,special,,,
187,festival,treat,,,,,,,,
188,this,water,was,something,very,different,,,,
189,from,ordinary,nourishment,,,,,,,
190,it,was,born,of,the,walk,under,the,stars,
191,of,the,song,of,the,pulley,,,,
192,of,the,effort,of,my,arms,,,,
193,it,was,good,for,the,heart,like,,,
194,a,present,when,i,,,,,,
195,was,a,little,boy,the,lights,of,,,
196,the,christmas,tree,the,music,of,the,,,
197,midnight,mass,the,tenderness,,,,,,
198,in,the,smiles,produced,in,a,similar,,,
199,way,the,radiance,of,the,gift,,,,
200,that,i,received,,,,,,,
201,the,men,where,you,live,said,,,,
202,the,little,prince,grow,five,,,,,
203,thousand,roses,in,a,single,garden,,,,
204,and,they,don,t,find,what,they,,,
205,re,looking,for,in,it,they,don,,,
206,t,find,it,i,replied,,,,,
207,and,yet,what,they,re,looking,for,,,
208,could,be,found,in,a,single,rose,,,
209,or,in,a,little,water,,,,,
210,that,s,TRUE,i,said,,,,,
211,and,the,little,prince,added,,,,,
212,but,the,eyes,are,blind,,,,,
213,you,have,to,search,with,the,heart,,,
214,i,had,drunk,the,,,,,,
215,water,i,breathed,easily,,,,,,
216,the,sand,at,sunrise,,,,,,
217,is,the,color,of,honey,this,,,,
218,honey,color,was,also,making,,,,,
219,me,feel,good,why,,,,,,
220,then,did,i,have,to,have,this,sense,of,
221,grief,you,have,,,,,,,
222,to,keep,your,promise,said,the,,,,
223,little,prince,softly,who,had,again,,,,
224,sat,down,beside,me,,,,,,
225,what,promise,,,,,,,,
226,you,know,a,muzzle,for,my,sheep,,,
227,i,m,responsible,for,,,,,,
228,this,flower,,,,,,,,
229,i,took,my,sketches,out,of,my,pocket,,
230,the,little,prince,saw,them,and,,,,
231,laughed,as,he,said,your,baobabs,,,,
232,they,look,a,bit,like,,,,,
233,cabbages,oh,,,,,,,,
234,and,i,d,been,so,proud,of,my,baobabs,
235,your,fox,,,,,,,,
236,his,ears,they,look,,,,,,
237,a,bit,like,horns,and,they,re,too,long,
238,and,then,he,laughed,again,,,,,
239,you,aren,t,being,fair,my,,,,
240,little,fellow,i,don,t,know,how,,,
241,to,draw,anything,except,boa,constrictors,,,,
242,closed,and,open,,,,,,,
243,oh,it,ll,be,ok,he,said,,,
244,children,understand,,,,,,,,
245,so,i,made,a,pencil,,,,,
246,sketch,of,a,muzzle,and,i,felt,,,
247,a,pang,in,my,heart,as,i,gave,it,to
248,him,you,have,plans,,,,,,
249,that,i,don,t,know,about,,,,
250,but,he,didn,t,respond,he,said,,,
251,to,me,you,know,,,,,,
252,my,descent,to,earth,,,,,,
253,tomorrow,will,be,its,anniversary,,,,,
254,then,after,a,,,,,,,
255,silence,he,went,on,,,,,,
256,i,came,down,very,near,here,,,,
257,and,he,blushed,,,,,,,
258,and,once,again,without,understanding,,,,,
259,why,i,felt,a,,,,,,
260,peculiar,sense,of,sorrow,,,,,,
261,one,question,occurred,to,,,,,,
262,me,however,so,it,,,,,,
263,wasn,t,by,chance,that,the,morning,i,,
264,first,met,you,a,week,ago,,,,
265,you,were,out,walking,like,that,all,,,
266,alone,a,thousand,miles,,,,,,
267,from,any,inhabited,region,,,,,,
268,you,were,going,back,to,the,place,where,you,landed
269,the,little,prince,,,,,,,
270,blushed,again,and,i,,,,,,
271,added,hesitantly,,,,,,,,
272,perhaps,because,of,the,anniversary,,,,,
273,the,little,prince,,,,,,,
274,blushed,once,more,he,never,,,,,
275,answered,questions,but,when,,,,,,
276,you,blush,that,means,yes,doesn,,,,
277,t,it,oh,,,,,,,
278,i,said,to,him,i,m,worried,,,
279,but,he,responded,,,,,,,
280,now,you,must,work,you,must,,,,
281,go,back,to,your,engine,i,will,,,
