,0,1,2,3,4,5,6,7,8,9
0,good,morning,said,the,little,prince,,,,
1,good,morning,said,the,merchant,,,,,
2,this,was,a,merchant,who,,,,,
3,sold,pills,that,had,been,created,to,,,
4,quench,thirst,you,could,take,,,,,
5,one,pill,a,week,and,you,no,longer,,
6,felt,the,need,to,drink,anything,,,,
7,why,are,you,selling,those,,,,,
8,asked,the,little,prince,it,s,,,,
9,a,big,time,saver,said,the,merchant,,,
10,experts,have,done,calculations,,,,,,
11,you,save,fifty,three,minutes,,,,,
12,per,week,and,what,do,i,,,,
13,do,with,the,fifty,three,minutes,,,,
14,you,can,do,anything,you,like,with,them,,
15,myself,the,,,,,,,,
16,little,prince,said,to,himself,if,,,,
17,i,had,fifty,three,minutes,to,spend,as,,
18,i,liked,i,d,walk,very,,,,
19,slowly,toward,a,spring,of,fresh,water,,,
20,we,were,at,the,,,,,,
21,eighth,day,since,my,accident,in,the,,,
22,desert,and,i,d,listened,to,the,story,,
23,of,the,merchant,as,i,drank,the,last,,
24,drop,of,my,water,supply,,,,,
25,ah,i,said,to,the,,,,,
26,little,prince,these,memories,,,,,,
27,of,yours,are,very,charming,but,i,,,
28,haven,t,managed,to,repair,my,plane,yet,,
29,i,have,nothing,left,to,drink,,,,
30,and,i,too,would,be,happy,if,,,
31,i,could,walk,slowly,towards,a,spring,,,
32,of,fresh,water,,,,,,,
33,my,friend,the,fox,he,said,to,,,
34,me,my,dear,fellow,,,,,,
35,our,situation,has,nothing,to,do,with,,,
36,the,fox,anymore,why,not,,,,,
37,because,we,will,die,of,thirst,,,,
38,he,didn,t,follow,,,,,,
39,my,reasoning,and,he,answered,me,,,,
40,it,s,nice,to,have,had,a,friend,,
41,even,if,you,re,about,to,die,,,
42,myself,i,m,glad,to,,,,,
43,have,had,a,fox,as,a,friend,,,
44,he,never,considers,the,danger,,,,,
45,i,said,to,myself,he,s,never,,,
46,been,hungry,or,thirsty,a,little,,,,
47,sunshine,is,all,he,needs,,,,,
48,but,he,looked,at,me,and,replied,to,my,
49,thought,i,m,also,thirsty,,,,,
50,let,s,look,for,a,well,,,,
51,i,made,a,gesture,of,weariness,,,,
52,it,s,absurd,to,look,for,,,,
53,a,well,at,random,in,the,immensity,,,
54,of,the,desert,but,we,started,,,,
55,walking,anyway,,,,,,,,
56,when,we,had,walked,for,hours,in,,,
57,silence,night,fell,and,,,,,,
58,the,stars,began,to,come,out,,,,
59,i,saw,them,as,if,in,a,dream,,
60,as,my,thirst,had,made,me,feverish,,,
61,the,little,prince,s,words,,,,,
62,danced,in,my,memory,,,,,,
63,so,you,re,also,thirsty,i,asked,,,
64,him,but,he,didn,t,reply,to,,,
