,0,1,2,3,4,5,6,7,8,9
0,there,was,next,to,the,well,,,,
1,the,ruin,of,an,old,stone,,,,
2,wall,when,i,came,,,,,,
3,back,from,my,work,the,next,evening,,,
4,i,saw,from,a,distance,my,little,,,
5,prince,sitting,on,top,of,it,,,,
6,his,feet,hanging,down,,,,,,
7,and,i,heard,him,say,don,t,,,
8,you,remember,then,this,isn,t,the,,,
9,exact,spot,another,,,,,,,
10,voice,must,have,answered,him,because,he,replied,,
11,yes,yes,it,s,the,,,,,
12,right,day,but,this,isn,,,,,
13,t,the,right,place,,,,,,
14,i,continued,my,walk,toward,the,,,,
15,wall,i,still,didn,t,see,,,,
16,or,hear,anyone,yet,the,little,,,,
17,prince,replied,again,that,,,,,,
18,s,right,you,ll,see,where,my,tracks,,
19,begin,in,the,sand,you,just,have,,,
20,to,wait,there,for,me,i,ll,be,there,
21,tonight,i,was,,,,,,,
22,twenty,meters,from,the,wall,and,i,,,
23,still,saw,nothing,,,,,,,
24,the,little,prince,spoke,again,after,a,pause,,
25,do,you,have,good,poison,,,,,
26,are,you,sure,you,won,,,,,
27,t,make,me,suffer,too,long,,,,
28,i,froze,my,heart,,,,,,
29,skipped,a,beat,but,i,still,,,,
30,didn,t,understand,,,,,,,
31,now,go,away,he,said,,,,,
32,i,want,to,come,down,from,here,,,
33,i,then,lowered,,,,,,,
34,my,eyes,to,the,foot,of,the,wall,and,
35,i,leapt,up,right,there,,,,,
36,facing,the,little,prince,was,,,,,
37,one,of,those,yellow,snakes,that,can,,,
38,kill,you,in,thirty,seconds,flat,,,,
39,even,as,i,dug,,,,,,
40,around,in,my,pocket,to,take,out,my,revolver,
41,i,made,a,running,step,,,,,
42,back,but,at,the,,,,,,
43,noise,i,made,the,snake,let,himself,,,
44,flow,easily,across,the,sand,,,,,
45,like,the,dying,spray,,,,,,
46,of,a,fountain,and,in,no,apparent,,,
47,hurry,slipped,between,the,,,,,,
48,stones,with,a,light,metallic,sound,,,,
49,i,reached,the,wall,,,,,,
50,just,in,time,to,catch,my,little,fellow,,
51,in,my,arms,who,was,white,as,,,
52,snow,what,s,going,on,here,,,,
53,why,are,you,talking,with,snakes,,,,
54,i,d,loosened,the,golden,,,,,
55,muffler,that,he,always,wore,,,,,
56,i,d,moistened,his,temples,and,had,,,
57,him,drink,and,now,,,,,,
58,i,didn,t,dare,ask,him,anything,more,,
59,he,looked,at,me,gravely,,,,,
60,and,put,his,arms,around,my,neck,,,
61,i,felt,his,heart,beat,like,,,,
62,the,heart,of,a,dying,bird,when,shot,,
63,with,a,rifle,he,said,to,me,,,
64,i,m,glad,that,you,ve,found,,,
65,what,was,wrong,with,your,engine,now,you,,
66,ll,be,able,to,go,back,home,,,
67,how,did,you,know,i,was,just,,,
68,coming,to,tell,him,that,against,all,,,
69,odds,my,work,had,been,successful,,,,
70,he,made,no,answer,to,my,,,,
71,question,but,he,added,,,,,,
72,i,m,also,going,back,home,today,,,
73,then,he,said,sadly,,,,,,
74,it,s,a,lot,further,,,,,
75,it,s,much,more,difficult,,,,,
76,i,felt,very,clearly,,,,,,
77,that,something,extraordinary,was,happening,,,,,
78,i,held,him,tightly,,,,,,
79,in,my,arms,like,a,small,child,,,
80,and,yet,it,seemed,to,me,that,he,was,
81,plummeting,down,into,an,abyss,,,,,
82,and,that,i,could,do,nothing,to,restrain,,
83,him,he,had,a,serious,,,,,
84,look,as,if,lost,far,,,,,
85,away,i,have,your,,,,,,
86,sheep,and,i,have,the,box,,,,
87,for,the,sheep,and,i,have,the,,,
88,muzzle,and,he,smiled,,,,,,
89,sadly,i,waited,,,,,,,
90,a,long,while,i,could,,,,,
91,feel,that,he,was,reviving,little,by,little,,
92,my,little,fellow,,,,,,,
93,i,said,to,him,you,re,afraid,,,
94,he,was,afraid,,,,,,,
95,of,course,but,he,laughed,softly,,,,
96,i,ll,be,much,more,afraid,,,,
97,this,evening,again,,,,,,,
98,i,felt,myself,frozen,,,,,,
99,by,the,sense,of,something,irreparable,,,,
100,and,i,knew,,,,,,,
101,that,i,couldn,t,bear,the,idea,of,never,
102,hearing,that,laughter,again,,,,,,
103,for,me,it,was,,,,,,
104,like,a,spring,of,fresh,water,in,the,desert,
105,little,fellow,,,,,,,,
106,i,said,i,want,,,,,,
107,to,hear,you,laugh,again,,,,,
108,but,he,said,to,me,tonight,,,,
109,it,ll,be,a,year,my,star,,,
110,will,be,right,above,the,spot,where,,,
111,i,came,down,to,earth,a,year,ago,,
112,little,fellow,,,,,,,,
113,is,this,all,a,bad,dream,this,,,
114,business,with,the,snake,and,the,meeting,,,
115,place,and,the,star,but,,,,,
116,he,didn,t,answer,my,question,,,,
117,he,said,to,me,,,,,,
118,that,which,is,important,can,t,be,seen,,
119,i,know,,,,,,,,
120,it,s,like,with,the,flower,,,,
121,if,you,love,a,flower,that,s,on,a,star
122,it,s,sweet,to,look,at,the,sky,,
123,at,night,all,the,stars,,,,,
124,are,covered,with,flowers,,,,,,
125,i,know,it,s,like,,,,,
126,with,the,water,the,water,you,,,,
127,gave,me,to,drink,was,like,music,,,
128,because,of,the,pulley,and,the,rope,,,
129,you,remember,it,was,,,,,,
130,good,i,know,,,,,,,
131,at,night,you,ll,look,at,the,stars,,
132,where,i,live,everything,,,,,,
133,is,too,small,for,me,to,point,,,
134,out,to,you,where,my,star,is,,,
135,it,s,better,like,that,my,,,,
136,star,will,be,for,you,just,one,,,
137,of,the,stars,so,you,ll,love,,,
138,to,look,at,all,of,the,stars,,,
139,they,ll,all,be,your,friends,and,,,
140,besides,i,m,going,to,make,you,,,
141,a,present,he,laughed,,,,,,
142,again,ah,little,fellow,,,,,,
143,dear,little,fellow,,,,,,,
144,i,love,to,hear,that,laugh,,,,
145,that,s,my,present,,,,,,
146,just,that,it,ll,be,like,,,,
147,with,the,water,,,,,,,
148,what,are,you,trying,to,say,,,,
149,everyone,has,the,same,stars,,,,,
150,but,they,are,not,the,same,,,,
151,to,everyone,for,some,,,,,,
152,who,are,travelers,the,stars,,,,,
153,are,guides,for,others,,,,,,
154,they,are,nothing,but,little,lights,,,,
155,for,others,who,are,scholars,,,,,
156,they,are,problems,for,my,,,,,
157,businessman,they,were,wealth,,,,,,
158,but,none,of,these,stars,say,anything,,,
159,back,you,,,,,,,,
160,will,have,the,stars,as,no,one,else,,
161,has,them,what,,,,,,,
162,are,you,trying,to,say,,,,,
163,when,you,look,at,the,sky,at,night,,
164,because,i,ll,be,living,on,,,,
165,one,of,them,because,i,ll,be,laughing,,
166,on,one,of,them,for,you,,,,
167,it,ll,be,like,all,the,stars,,,
168,are,laughing,you,,,,,,,
169,only,you,will,have,,,,,,
170,stars,that,can,laugh,,,,,,
171,and,he,laughed,again,,,,,,
172,and,when,your,sorrow,is,comforted,,,,
173,time,heals,all,,,,,,,
174,wounds,you,ll,be,glad,to,have,,,
175,known,me,you,ll,always,be,my,,,
176,friend,you,ll,want,to,laugh,,,,
177,with,me,and,sometimes,,,,,,
178,you,ll,open,your,window,just,like,that,,
179,for,fun,and,your,friends,,,,,
180,will,be,very,surprised,to,see,you,laughing,,
181,whilst,watching,the,sky,,,,,,
182,so,you,ll,tell,them,,,,,
183,yes,the,stars,always,make,,,,,
184,me,laugh,and,they,ll,think,you,re,crazy,
185,i,will,have,played,a,dirty,,,,
186,trick,on,you,and,he,,,,,
187,laughed,again,it'll,,,,,,,
188,,be,as,if,i,d,given,you,instead,of
189,stars,lots,and,lots,of,,,,,
190,little,bells,that,can,laugh,,,,,
191,and,he,laughed,some,more,,,,,
192,then,he,suddenly,became,,,,,,
193,serious,again,,,,,,,,
194,tonight,you,know,,,,,,,
195,don,t,come,,,,,,,
196,i,won,t,leave,you,,,,,
197,it,ll,look,as,if,i,m,suffering,,
198,it,ll,look,a,bit,as,if,i,m,dying
199,it,s,like,that,,,,,,
200,don,t,come,to,see,that,,,,
201,it,s,not,worth,it,i,,,,
202,won,t,leave,you,but,,,,,
203,he,was,worried,i,m,telling,,,,
204,you,this,it,s,also,because,,,,
205,of,the,snake,he,mustn,,,,,
206,t,bite,you,snakes,are,,,,,
207,mean,they,can,bite,you,just,,,,
208,for,fun,i,won,,,,,,
209,t,leave,you,but,something,,,,,
210,reassured,him,,,,,,,,
211,it,s,TRUE,that,they,have,no,poison,,
212,left,for,a,second,bite,,,,,
213,that,night,i,didn,t,,,,,
214,see,him,set,out,he,got,away,,,
215,without,making,a,sound,,,,,,
216,when,i,managed,to,catch,him,up,,,
217,he,was,walking,along,determinedly,,,,,
218,at,a,brisk,pace,,,,,,
219,he,said,to,me,only,oh,,,,
220,you,came,,,,,,,,
221,and,he,took,me,by,the,hand,,,
222,but,he,was,still,worrying,,,,,
223,you,ve,made,a,mistake,,,,,
224,you,ll,suffer,it,ll,look,as,if,i,
225,m,dead,and,that,won,t,be,TRUE,,
226,i,said,nothing,,,,,,,
227,you,understand,,,,,,,,
228,it,s,too,far,i,can,t,,,
229,carry,this,body,with,me,it,s,too,heavy,
230,i,said,nothing,,,,,,,
231,but,it,ll,,,,,,,
232,be,like,an,old,abandoned,shell,,,,
233,there,s,nothing,sad,about,old,shells,,,
234,i,said,,,,,,,,
235,nothing,he,got,a,bit,,,,,
236,discouraged,but,he,made,one,more,,,,
237,effort,you,know,,,,,,,
238,it,ll,be,nice,,,,,,
239,i,ll,also,look,at,the,stars,,,
240,all,the,stars,will,be,wells,with,,,
241,a,rusty,pulley,all,the,,,,,
242,stars,will,pour,out,fresh,water,,,,
243,for,me,to,drink,,,,,,
244,i,said,nothing,,,,,,,
245,it,ll,be,so,much,fun,,,,
246,you,ll,have,five,hundred,million,little,,,
247,bells,and,i,ll,have,five,,,,
248,hundred,million,springs,of,fresh,water,,,,
249,and,then,,,,,,,,
250,he,too,was,silent,because,he,,,,
251,was,crying,,,,,,,,
252,here,s,the,place,let,me,go,,,
253,on,by,myself,and,,,,,,
254,he,sat,down,because,he,was,afraid,,,
255,he,said,you,,,,,,,
256,know,my,flower,,,,,,,
257,i,m,responsible,for,her,,,,,
258,and,she,s,so,weak,and,she,,,
259,s,so,na\ive,she,,,,,,
260,has,four,thorns,of,no,use,,,,
261,at,all,to,protect,herself,against,,,,
262,the,entire,world,,,,,,,
263,i,sat,down,too,,,,,,
264,because,i,was,no,longer,able,to,stand,,
265,he,said,,,,,,,,
266,,,,,,,,,,
267,that,s,everything,,,,,,,
268,he,hesitated,a,bit,and,,,,,
269,then,stood,back,up,he,,,,,
270,took,one,step,i,couldn,,,,,
271,t,move,there,was,nothing,,,,,
272,but,a,yellow,flash,close,,,,,
273,to,his,ankle,he,remained,,,,,
274,motionless,for,an,instant,,,,,,
275,he,didn,t,cry,out,,,,,
276,he,fell,as,gently,as,a,tree,,,
277,falls,there,was,not,even,,,,,
278,any,sound,because,of,the,sand,,,,
279,and,now,,,,,,,,
280,of,course,it,s,already,been,six,,,
281,years,i,have,never,yet,,,,,
