,0,1,2,3,4,5,6,7,8,9,10
49,thing,that,came,to,my,mind,,,,,
50,i,myself,am,busy,with,matters,of,consequence,,,
51,he,looked,,,,,,,,,
52,at,me,dumbfounded,matters,,,,,,,
53,of,consequence,,,,,,,,,
54,he,watched,me,hammer,in,hand,,,,,
55,and,my,fingers,black,with,grease,,,,,
56,leaning,on,an,object,that,would,have,seemed,,,
57,to,him,very,ugly,you,,,,,,
58,talk,just,like,the,grownups,,,,,,
59,that,made,me,feel,a,little,ashamed,,,,
60,but,he,went,on,relentlessly,,,,,,
61,you,confuse,everything,,,,,,,,
62,you,mix,everything,up,,,,,,,
63,he,was,really,very,angry,,,,,,
64,he,shook,his,golden,curls,in,,,,,
65,the,breeze,i,know,a,,,,,,
66,planet,where,there,is,a,redfaced,gentleman,,,,
67,he,has,never,smelled,a,flower,,,,,
68,he,has,never,looked,at,a,star,he,,,
69,has,never,loved,anyone,he,has,never,,,,
70,done,anything,but,sums,and,,,,,,
71,all,day,long,he,repeats,just,,,,,
72,like,you,i,am,busy,with,matters,,,,
73,of,consequence,and,that,makes,,,,,,
74,him,swell,up,with,pride,but,this,,,,
75,is,not,a,man,he,s,a,mushroom,,,
76,a,what,a,mushroom,,,,,,,
77,the,little,prince,,,,,,,,
78,was,now,white,with,rage,,,,,,
79,flowers,have,been,growing,thorns,,,,,,
80,for,millions,of,years,for,,,,,,
81,millions,of,years,the,sheep,have,eaten,the,,,
82,flowers,all,the,same,and,it,,,,,
83,s,not,a,matter,of,consequence,to,try,,,
84,to,understand,why,they,take,so,much,,,,
85,trouble,to,grow,thorns,which,are,never,of,any,,
86,use,is,the,war,between,,,,,,
87,the,flowers,and,sheep,not,important,,,,,
88,is,it,not,of,more,consequence,,,,,
89,and,more,important,than,the,sums,of,,,,
90,a,fat,redfaced,gentleman,,,,,,,
91,and,if,i,myself,know,of,a,unique,,,
92,flower,which,grows,nowhere,but,,,,,,
93,on,my,planet,that,a,little,sheep,,,,
94,can,destroy,in,one,stroke,just,,,,,
95,like,that,one,morning,without,realising,,,,,
96,what,he,s,done,is,that,not,,,,
97,important,he,blushed,,,,,,,,
98,and,continued,if,someone,,,,,,,
99,loves,a,flower,of,which,just,,,,,
100,one,specimen,exists,amongst,,,,,,,
101,the,millions,and,millions,of,stars,,,,,
102,it,s,enough,to,make,him,happy,when,he,looks,
103,at,them,he,can,say,my,,,,,
104,flower,is,out,there,somewhere,,,,,,
105,but,if,the,sheep,eats,the,flower,for,,,
106,him,it,s,as,if,suddenly,all,the,stars,,
107,have,gone,out,and,you,think,,,,,
108,that,s,not,important,,,,,,,
109,he,couldn,t,say,anything,more,he,,,,
110,suddenly,burst,into,tears,,,,,,,
111,night,had,fallen,,,,,,,,
112,i,had,put,down,my,tools,,,,,
113,of,what,moment,was,my,hammer,,,,,
114,my,bolt,or,thirst,,,,,,,
115,or,death,there,was,,,,,,,
116,on,a,star,on,a,planet,my,,,,
117,planet,earth,a,little,,,,,,,
118,prince,to,be,comforted,,,,,,,
119,i,took,him,in,my,arms,i,rocked,,,
120,him,i,said,,,,,,,,
121,the,flower,that,you,love,isn,t,in,danger,,
122,i,ll,draw,you,a,muzzle,for,,,,
123,your,sheep,i,ll,draw,you,a,railing,,,
124,for,your,flower,i.,i.,,,,,,
125,i,wasn,t,sure,what,to,say,,,,
126,i,felt,very,awkward,,,,,,,
127,i,didn,t,know,how,to,reach,him,where,to,
128,find,him,it,s,so,secretive,,,,,
129,the,land,of,tears,,,,,,,
130,i,learned,very,quickly,,,,,,,
131,to,know,this,flower,better,,,,,,
132,there,had,always,been,very,simple,,,,,
133,flowers,on,the,planet,of,the,little,,,,
134,prince,decorated,with,a,single,,,,,,
135,row,of,petals,that,didn,,,,,,
136,t,take,up,any,space,and,didn,t,bother,,
137,anyone,they,would,appear,,,,,,,
138,one,morning,in,the,grass,,,,,,
139,and,by,evening,they,d,have,faded,away,,,
140,but,this,one,had,sprouted,,,,,,
141,one,day,from,a,seed,blown,in,,,,
142,from,no,one,knows,where,and,,,,,
143,the,little,prince,had,watched,very,closely,,,,
144,this,sprout,that,was,not,like,,,,,
145,the,other,sprouts,it,could,have,,,,,
146,been,a,new,kind,of,baobab,,,,,
147,but,the,shrub,soon,stopped,,,,,,
148,growing,and,began,to,produce,,,,,,
149,a,flower,the,little,prince,,,,,,
150,who,witnessed,the,appearance,,,,,,,
151,of,a,huge,bud,felt,,,,,,
152,that,a,miraculous,apparition,must,,,,,,
153,emerge,from,it,but,the,flower,,,,,
154,never,stopped,preparing,for,her,future,,,,,
155,beauty,safe,in,her,green,,,,,,
156,chamber,she,chose,her,colours,,,,,,
157,carefully,she,dressed,slowly,,,,,,,
158,she,arranged,her,petals,,,,,,,
159,one,by,one,she,,,,,,,
160,did,not,want,to,come,out,all,rumpled,,,
161,like,the,poppies,she,,,,,,,
162,would,only,want,to,appear,in,the,full,,,
163,radiance,of,her,beauty,,,,,,,
164,oh,yes,she,was,a,very,,,,,
165,flirtatious,creature,,,,,,,,,
166,and,her,mysterious,adornment,,,,,,,
167,had,thus,lasted,for,days,,,,,,
168,and,days,then,,,,,,,,
169,one,morning,exactly,,,,,,,,
170,at,sunrise,she,suddenly,showed,,,,,,
171,herself,and,after,,,,,,,,
172,having,worked,with,such,care,and,attention,,,,
173,to,detail,she,said,with,,,,,,
174,a,yawn,oh,i,,,,,,,
175,have,only,just,woken,up,,,,,,
176,i,do,apologize,i,am,not,,,,,
177,yet,presentable,the,little,,,,,,,
178,prince,couldn,t,restrain,his,admiration,,,,,
179,you,re,so,beautiful,,,,,,,
180,am,i,not,,,,,,,,
181,the,flower,responded,sweetly,,,,,,,
182,and,i,was,born,at,the,,,,,
183,same,moment,as,the,sun,,,,,,
184,the,little,prince,guessed,easily,,,,,,
185,enough,that,she,was,not,very,modest,,,,
186,but,how,moving,she,,,,,,,
187,was,it,s,time,,,,,,,
188,i,think,for,breakfast,she,,,,,,
189,added,an,instant,later,,,,,,,
190,if,you,would,have,the,kindness,to,think,of,,
191,my,needs,and,the,little,,,,,,
192,prince,completely,abashed,,,,,,,,
193,having,gone,to,look,for,a,sprinkling,,,,
194,can,of,fresh,water,tended,,,,,,
195,to,the,flower,and,like,,,,,,
196,that,she,had,soon,begun,to,torment,,,,
197,him,with,her,vanity,,,,,,,
198,one,day,for,example,speaking,,,,,,
199,of,her,four,thorns,she,told,,,,,
200,the,little,prince,let,them,come,,,,,
201,the,tigers,with,their,claws,,,,,,
202,there,aren,t,any,tigers,,,,,,
203,on,my,planet,the,little,prince,objected,,,,
204,and,tigers,don,t,,,,,,,
205,eat,weeds,i,am,not,,,,,,
206,a,weed,the,flower,replied,sweetly,,,,,
207,please,forgive,me,,,,,,,,
208,i,do,not,fear,tigers,,,,,,
209,but,i,detest,drafts,,,,,,,
210,you,wouldn,t,happen,to,have,a,screen,,,
211,detests,,,,,,,,,,
212,drafts,that,s,bad,luck,,,,,,
213,for,a,plant,remarked,the,little,prince,,,,
214,what,a,very,complicated,,,,,,,
215,flower,in,the,evening,,,,,,,
216,you,will,put,me,under,a,glass,,,,
217,dome,it,is,very,cold,where,,,,,
218,you,live,where,i,come,from,,,,,
219,but,she,interrupted,herself,,,,,,,
220,she,had,come,in,the,form,,,,,
221,of,a,seed,she,couldn,t,have,known,,,
222,anything,of,other,worlds,,,,,,,
223,humiliated,at,having,been,caught,,,,,,
224,out,on,a,lie,so,naive,,,,,
225,she,coughed,two,or,three,times,,,,,
226,to,imply,the,little,prince,,,,,,
227,was,in,the,wrong,the,screen,,,,,
228,i,was,just,going,to,look,for,,,,
229,it,when,you,spoke,to,me,,,,,
230,then,she,forced,a,cough,to,inflict,,,,
231,still,more,remorse,so,,,,,,,
232,the,little,prince,despite,the,good,,,,,
233,will,of,his,love,had,soon,come,,,,
234,to,doubt,her,he,had,taken,,,,,
235,seriously,words,of,no,importance,,,,,,
236,and,had,become,very,unhappy,,,,,,
237,i,shouldn,t,have,listened,,,,,,
238,to,her,he,told,me,one,day,,,,
239,you,should,never,listen,to,the,flowers,,,,
240,we,must,look,at,,,,,,,
241,them,and,breathe,their,fragrance,,,,,,
242,mine,perfumed,my,whole,planet,,,,,,
243,but,i,didn,t,know,how,to,take,,,
244,pleasure,in,it,this,business,,,,,,
245,of,the,claws,which,annoyed,me,so,,,,
246,much,should,only,have,filled,my,,,,,
247,heart,with,tenderness,and,pity,,,,,,
248,he,continued,his,confidences,,,,,,,
249,i,didn,t,know,how,to,,,,,
250,understand,i,should,have,her,,,,,,
251,judged,by,her,deeds,and,not,by,her,,,
252,words,she,overwhelmed,me,,,,,,,
253,with,her,fragrance,and,light,,,,,,
254,i,should,never,have,run,away,,,,,
255,i,should,have,seen,the,tenderness,behind,her,,,
256,contrivances,flowers,,,,,,,,,
257,are,so,contradictory,,,,,,,,
258,but,i,was,too,young,to,know,how,to,love,her
259,i,think,,,,,,,,,
260,that,for,his,escape,he,took,advantage,,,,
261,of,a,migration,of,a,flock,of,,,,
262,wild,birds,on,,,,,,,,
263,the,morning,of,his,departure,he,put,,,,
264,his,planet,in,perfect,order,,,,,,
265,he,carefully,swept,out,his,active,,,,,
266,volcanoes,he,owned,two,active,,,,,,
267,volcanoes;,it,was,very,convenient,,,,,,
268,for,heating,his,breakfast,in,the,morning,,,,
269,he,also,owned,an,extinct,,,,,,
270,volcano,but,as,he,used,,,,,,
271,to,say,you,never,know,so,he,,,,
272,cleaned,out,the,extinct,volcano,,,,,,
273,too,if,they,are,well,cleaned,,,,,
274,out,volcanoes,burn,slowly,,,,,,,
275,and,steadily,without,any,eruptions,,,,,,
276,volcanic,eruptions,,,,,,,,,
277,are,like,fires,in,a,chimney,,,,,
278,on,our,earth,we,re,obviously,much,,,,
279,too,small,to,clean,out,our,volcanoes,,,,
280,that,s,why,they,cause,us,,,,,
281,no,end,of,trouble,,,,,,,
