,0,1,2,3,4,5,6,7,8,9,10
0,on,the,fifth,day,again,thanks,to,,,,
1,the,sheep,this,secret,of,the,little,,,,
2,prince,s,life,was,revealed,to,me,,,,
3,he,asked,abruptly,,,,,,,,
4,without,anything,leading,up,to,it,,,,,
5,as,if,it,was,the,result,of,,,,
6,a,long,silent,meditation,on,a,problem,,,,
7,if,a,sheep,eats,,,,,,,
8,shrubs,then,does,it,eat,flowers,,,,,
9,too,a,sheep,,,,,,,,
10,eats,everything,it,finds,,,,,,,
11,even,flowers,that,have,thorns,,,,,,
12,yes,even,flowers,,,,,,,,
13,that,have,thorns,,,,,,,,
14,what,are,the,thorns,for,then,,,,,
15,i,didn,t,know,the,answer,,,,,
16,i,was,very,busy,trying,to,unscrew,,,,
17,a,bolt,in,my,engine,that,had,got,stuck,,
18,i,was,very,worried,,,,,,,
19,because,my,breakdown,was,beginning,to,appear,,,,
20,to,be,very,serious,and,,,,,,
21,i,had,so,little,drinking,water,left,,,,
22,that,i,had,to,fear,the,worst,,,,
23,what,are,the,thorns,,,,,,,
24,for,then,the,little,,,,,,,
25,prince,never,let,go,of,a,question,once,,,
26,he,had,asked,it,i,was,upset,,,,
27,over,the,bolt,and,i,said,the,first,,,
28,thing,that,came,into,my,head,,,,,
29,the,thorns,are,of,no,use,at,all,,,
30,flowers,have,thorns,just,for,spite,,,,,
31,oh,,,,,,,,,,
32,but,after,a,moment,of,silence,,,,,
33,he,exclaimed,with,a,sort,of,resentment,,,,
34,i,don,t,believe,you,,,,,,
35,flowers,are,weak,creatures,,,,,,,
36,they,re,naive,they,reassure,,,,,,
37,themselves,as,best,they,can,,,,,,
38,they,think,themselves,frightful,,,,,,,
39,with,their,thorns,,,,,,,,
40,i,made,no,reply,at,,,,,,
41,that,moment,i,was,thinking,to,myself,,,,
42,if,this,bolt,won,t,budge,,,,,
43,i,ll,knock,it,out,with,a,hammer,,,
44,the,little,prince,interrupted,,,,,,,
45,my,thoughts,again,and,,,,,,,
46,you,actually,believe,that,,,,,,,
47,flowers,no,no,i,don,t,believe,,,,
48,it,at,all,i,answered,the,first,,,,
